user,movie,rating
Rose,LadyinWater,2.5
Rose,SnakesOnPlane,3.5
Rose,JustMyLuck,3
Rose,Superman,3.5
Rose,Dupree,2.5
Rose,NightListener,3
Seymour,LadyinWater,3
Seymour,SnakesOnPlane,3.5
Seymour,JustMyLuck,1.5
Seymour,Superman,5
Seymour,Dupree,3.5
Seymour,NightListener,3
Philips,LadyinWater,2.5
Philips,SnakesOnPlane,3
Philips,Superman,3.5
Philips,NightListener,4
Puig,SnakesOnPlane,3.5
Puig,JustMyLuck,3
Puig,Superman,4
Puig,Dupree,2.5
Puig,NightListener,4.5
LaSalle,LadyinWater,3
LaSalle,SnakesOnPlane,4
LaSalle,JustMyLuck,2
LaSalle,Superman,3
LaSalle,Dupree,2
LaSalle,NightListener,3
Matthews,LadyinWater,3
Matthews,SnakesOnPlane,4
Matthews,Superman,5
Matthews,Dupree,3.5
Matthews,NightListener,3
Toby,SnakesOnPlane,4.5
Toby,Superman,4
Toby,Dupree,1
Barry,LadyinWater,3
Barry,JustMyLuck,2
Barry,NightListener,1
Larry,LadyinWater,2
Larry,SnakesOnPlane,2.5
Larry,Superman,4.5
Larry,Dupree,5
Garry,SnakesOnPlane,4
Garry,Superman,1
Garry,NightListener,1.5
Sally,LadyinWater,3
Sally,SnakesOnPlane,3.5
Sally,Dupree,1.5
Sally,NightListener,1
Harry,SnakesOnPlane,1
Harry,JustMyLuck,1.5
Molly,SnakesOnPlane,4.5
Molly,Superman,4.5
Molly,NightListener,4.5
Wally,SnakesOnPlane,1
Wally,JustMyLuck,2
Wally,Superman,3
Wally,Dupree,4
Wally,NightListener,5
Tully,LadyinWater,3.5
Tully,SnakesOnPlane,3.5
Tully,JustMyLuck,4.5
Tully,Superman,4
Tully,NightListener,2
Billy,SnakesOnPlane,4.5
Billy,JustMyLuck,3
Billy,Superman,3
